episode,reward,loss,steps,success
1,5,0.0,6,1
2,-12,0.0,23,1
3,1,0.8428540378808975,10,1
4,-34,0.698622967004776,25,0
5,-50,0.4664023784035817,50,0
6,-11,0.48955003917217255,2,0
7,-15,0.5596419995029768,6,0
8,-38,0.3333685892368002,49,1
9,-50,0.32330605313181876,50,0
10,-50,0.21784087955951692,50,0
11,-25,0.21761604646841684,36,1
12,-14,0.4024119794368744,5,0
13,7,0.41911841928958893,4,1
14,-14,0.28320657908916474,5,0
15,-50,0.28988168206065895,50,0
16,-50,0.25232347309589387,50,0
17,-50,0.30335438877344134,50,0
18,-50,0.3998797777295113,50,0
19,-8,0.30108229110115453,19,1
20,-50,0.5557702429592609,50,0
21,-32,0.4299343536759532,43,1
22,-50,0.31211049742996694,50,0
23,-23,0.07400105334818363,14,0
24,-32,0.33311727659209917,23,0
25,-12,0.13430954758887706,23,1
26,6,0.15619660615921022,5,1
27,-10,0.04788472503423691,1,0
28,0,0.2786156182939356,11,1
29,-50,0.13310990557074548,50,0
30,1,0.16785362884402275,10,1
31,10,0.053546175360679626,1,1
32,-9,0.09707074631005526,20,1
33,-17,0.10209027691079038,28,1
34,6,0.07887413129210472,5,1
35,-15,0.061374086707543865,26,1
36,-50,0.021269973861053587,50,0
37,-10,0.06413257122039795,1,0
38,-23,0.042710968160203526,14,0
39,4,0.016642389419887747,7,1
40,-38,0.02232111739564915,49,1
41,-8,0.016320655048873863,19,1
42,-52,0.015700686408943215,43,0
43,4,0.009362954047641583,7,1
44,-22,0.009221039528986721,33,1
45,-12,0.006575900906076034,3,0
46,-8,0.004277211908054979,19,1
47,-50,0.005206318134441972,50,0
48,4,0.0036916976761338966,7,1
49,-50,0.0034998240624554457,50,0
50,-13,0.005420434754341841,4,0
51,-50,0.002422803440131247,50,0
52,4,0.00283079148669328,7,1
53,3,0.0019951317517552525,8,1
54,-9,0.0012253153719939292,20,1
55,-2,0.0014134679468742644,13,1
56,-13,0.00146853784826817,24,1
57,9,0.0007894825539551675,2,1
58,-12,0.0008063084290673336,3,0
59,5,0.000840686164641132,6,1
60,-12,0.0006183990141532073,3,0
61,-2,0.0013481974848008787,13,1
62,-13,0.001953582395799458,4,0
63,-1,0.0011947852520582576,12,1
64,7,0.0006749066087650135,4,1
65,-23,0.0006023580148501103,34,1
66,7,0.0010120143124368042,4,1
67,-4,0.0005366631899960339,15,1
68,-14,0.0003488293365808204,25,1
69,0,0.0005120181065814739,11,1
70,-17,0.00022671608374886482,28,1
71,8,0.00019814894282414267,3,1
72,1,0.0004106287989998236,10,1
73,0,0.00043526118944018066,11,1
74,5,0.00026581243582768366,6,1
75,-15,0.0002459438983350992,6,0
76,-16,0.0001995437346017247,27,1
77,-50,0.00014679222142149228,50,0
78,-5,0.00011366378384991549,16,1
79,-33,5.2842731747659855e-05,24,0
80,-19,7.877820074403038e-05,30,1
81,-35,5.195863084973889e-05,46,1
82,-8,3.103589192745092e-05,19,1
83,-1,2.192484794250049e-05,12,1
84,-11,4.499758043411103e-05,22,1
85,-4,1.5165484849906837e-05,15,1
86,5,9.885654132328151e-06,6,1
87,5,1.761931002874917e-05,6,1
88,-9,2.992147826716973e-05,20,1
89,-31,1.6592971270429623e-05,42,1
90,2,1.259583576837839e-05,9,1
