episode,reward,loss,steps,success
1,8,0.0,3,1
2,-22,0.7264792561531067,33,1
3,-22,0.5357272853002404,33,1
4,-50,0.3913350261282176,50,0
5,-41,0.1637977236241568,32,0
6,-50,0.2892259562946856,50,0
7,-50,0.2516853458434343,50,0
8,-20,0.39541922780600464,11,0
9,-50,0.38154683835804465,50,0
10,-3,0.3987436844035983,14,1
11,-37,0.4992250071372837,48,1
12,-50,0.48286533035337925,50,0
13,-50,0.4472420987486839,50,0
14,-41,0.4988822778686881,32,0
15,-50,0.5902309256792069,50,0
16,0,0.37450123646042566,11,1
17,-21,0.1434596978360787,32,1
18,-50,0.1912887578830123,50,0
19,2,0.38206999624768895,9,1
20,2,0.1965470810731252,9,1
21,8,0.1269435112675031,3,1
22,-1,0.07436936193456252,12,1
23,-31,0.08200453261711768,42,1
24,4,0.06097713166049549,7,1
25,-50,0.09026493321172893,50,0
26,-21,0.11567335742680977,12,0
27,-1,0.07930868914506088,12,1
28,5,0.07947690008829038,6,1
29,-36,0.0482783284647628,47,1
30,-24,0.03057920526092251,15,0
31,-50,0.04028238532599062,50,0
32,0,0.00569812377745455,11,1
33,-12,0.032313591537430235,23,1
34,-36,0.02335421822747176,47,1
35,2,0.01663530607604318,9,1
36,-50,0.014344815877266229,50,0
37,-16,0.0057844675279089385,7,0
38,-14,0.0064119709236547355,25,1
39,-14,0.0012486914405599237,5,0
40,-21,0.004548282954298581,12,0
41,-2,0.0033367975131393625,13,1
42,-48,0.0038448769378308686,39,0
43,-2,0.0031715244269714905,13,1
44,-24,0.001748648666155835,15,0
45,3,0.0009855874741333537,8,1
46,1,0.0010894697683397681,10,1
47,-25,0.0005767318879305902,36,1
48,8,0.00033552839886397123,3,1
49,-4,0.002083586816055079,15,1
50,-50,0.0008862650452647358,50,0
51,2,0.0004982453764468017,9,1
52,3,0.0002499656766303815,8,1
53,-25,0.00019190503553545568,16,0
54,-3,0.0012111191587921763,14,1
55,5,0.0008641081609918425,6,1
56,-1,0.0004530197402345948,12,1
57,-3,0.0003244391721507002,14,1
58,-26,0.0005526855221015048,37,1
59,-25,0.00048267778705242864,36,1
60,-6,0.0002671453942585846,17,1
61,3,0.00021165335238038097,8,1
62,1,0.000267746091412846,10,1
63,7,0.0012170449772384018,4,1
64,10,0.0012419357663020492,1,1
65,7,0.000891524730832316,4,1
66,6,0.0005844282102771103,5,1
67,-6,0.0002940455759765909,17,1
68,10,0.00013928166299592704,1,1
69,-18,0.0003186539906891994,29,1
70,1,0.00020902485557598992,10,1
71,-4,0.00011210910767355624,15,1
72,10,5.4968291806289926e-05,1,1
73,-24,0.00020559979696242538,35,1
74,3,9.029607326738187e-05,8,1
75,3,6.761700706192642e-05,8,1
76,1,3.801529855991248e-05,10,1
77,5,0.00032895991049978573,6,1
78,6,0.00023266246425919236,5,1
79,-1,0.00015400426673295442,12,1
80,7,9.883553866529837e-05,4,1
81,1,7.244062471727375e-05,10,1
82,-4,4.582120648895701e-05,15,1
83,-5,0.00015791799069120316,16,1
84,4,6.21890150276678e-05,7,1
85,5,6.654948841363269e-05,6,1
86,4,4.041366108659921e-05,7,1
87,-2,2.6448181205733607e-05,13,1
88,-22,1.2379286345370048e-05,33,1
89,9,7.971965260367142e-06,2,1
90,-6,1.862956911977295e-05,17,1
91,-29,4.821675092898658e-05,40,1
92,-4,2.172518337223058e-05,15,1
93,9,1.962058559001889e-05,2,1
94,-15,7.247238438769553e-06,26,1
95,-18,2.530296809608343e-06,9,0
96,-7,1.454056413447486e-05,18,1
97,-7,8.166463001341779e-06,18,1
98,-13,4.2755837673288015e-06,24,1
99,1,7.635749284418125e-06,10,1
100,-5,3.4763048688546405e-06,16,1
101,9,1.6827802937768865e-06,2,1
102,4,2.4121062389375377e-06,7,1
103,3,1.2137871223671937e-06,8,1
104,1,3.164698159707768e-06,10,1
105,-10,1.3138252208071727e-06,21,1
106,5,7.249895238222356e-07,6,1
107,-5,2.748226406446008e-07,16,1
108,2,1.943989786923339e-07,9,1
109,-3,1.225527661574688e-07,14,1
110,3,4.836648637152052e-08,8,1
111,7,4.811757570166719e-08,4,1
112,10,3.4989522390560523e-08,1,1
113,-18,9.200948990905412e-07,29,1
114,-22,2.906305449769344e-07,33,1
115,-15,7.78377111141883e-07,26,1
116,6,3.1443912575923603e-07,5,1
117,5,2.045739080358544e-07,6,1
118,3,1.842233992022102e-07,8,1
119,-11,2.930523518397298e-07,22,1
120,2,1.7340227584680986e-07,9,1
121,4,1.0618720531445952e-07,7,1
122,7,7.934882084725814e-08,4,1
123,2,5.232119527755054e-08,9,1
124,8,3.760357477252304e-08,3,1
125,2,1.9465162124119058e-07,9,1
126,-8,1.4499773582979527e-07,19,1
127,-3,5.292253873229973e-08,14,1
128,0,3.727455362549521e-08,11,1
129,2,2.1378910493770793e-08,9,1
130,-1,1.439708870639341e-08,12,1
131,1,1.129985109926679e-08,10,1
132,0,5.966448628087887e-09,11,1
133,-17,1.3488040822335584e-07,28,1
134,3,9.772615561232101e-08,8,1
135,5,6.538563764498424e-08,6,1
136,-6,4.290704048268962e-08,17,1
137,-2,4.165950681858441e-08,13,1
138,-1,1.758441096437006e-08,12,1
139,-4,1.6451460430981038e-08,15,1
140,-10,5.472061914701953e-09,1,0
141,5,4.657018104481381e-09,6,1
142,4,1.3374808562259335e-08,7,1
143,10,3.0309678322737454e-08,1,1
144,2,1.2529356120517655e-08,9,1
145,1,6.676432384722375e-09,10,1
146,-13,2.2889066012924766e-09,24,1
147,6,9.565110303810798e-09,5,1
148,1,1.0589514243264375e-08,10,1
149,8,5.623003988356838e-09,3,1
150,-1,5.624163838350664e-09,12,1
151,-1,3.5173594777522985e-09,12,1
152,8,1.8274137758567122e-09,3,1
153,-9,3.1203818195990608e-09,20,1
154,-2,1.6450872117537494e-09,13,1
155,7,7.631990595058369e-10,4,1
156,9,4.86288342926855e-10,2,1
157,3,3.8463205537242473e-10,8,1
158,4,2.7836410161035426e-10,7,1
159,4,1.0535845608648587e-09,7,1
160,4,6.150546500676463e-10,7,1
161,10,4.483418081235868e-10,1,1
162,7,3.530570280574352e-10,4,1
163,7,2.698822970659265e-10,4,1
164,7,2.0554094537494905e-10,4,1
165,7,2.0703717906744856e-10,4,1
166,8,1.7573207703828567e-10,3,1
167,10,3.1868196970208373e-10,1,1
168,10,5.432188032727936e-11,1,1
169,0,1.1785840485374749e-10,11,1
170,4,2.4804428352557094e-10,7,1
171,6,3.923743108202871e-10,5,1
172,9,5.989522211535814e-10,2,1
173,8,3.4233060830501927e-10,3,1
174,6,3.634189393864062e-10,5,1
175,4,1.885165436453308e-10,7,1
176,-5,1.097073196176801e-10,16,1
177,-12,1.0383352873163339e-10,23,1
178,2,1.3818760333547983e-10,9,1
179,-10,4.1103044248625934e-11,21,1
180,3,3.1478243622817814e-11,8,1
181,0,4.59616032102226e-11,11,1
182,7,2.3746740684948975e-11,4,1
183,-3,1.6604352813333533e-11,14,1
184,6,6.999323343137576e-12,5,1
185,-2,7.73135401853044e-12,13,1
186,3,6.9402331104306825e-12,8,1
