episode,reward,loss,steps,success
1,-50,0.18625901820824334,50,0
2,-37,0.03482391100260429,48,1
3,-50,0.10921276397304609,50,0
4,-10,0.002683702390640974,1,0
5,-50,0.10794319057138636,50,0
6,-1,0.14146285123327593,12,1
7,1,0.19137427164241672,10,1
8,-32,0.21239452649150853,23,0
9,-16,0.24761884676159493,7,0
10,-33,0.16565992454222092,24,0
11,-50,0.25026266468688846,50,0
12,-14,0.17771504521369935,5,0
13,-50,0.1887604127265513,50,0
14,-50,0.17321786964312197,50,0
15,-36,0.2635273712652701,27,0
16,-9,0.2089833179488778,20,1
17,-35,0.20067925070627377,26,0
18,-50,0.3110974822193384,50,0
19,-10,0.5063641667366028,1,0
20,-21,0.46691083163022995,12,0
21,-13,0.22094495221972466,4,0
22,-14,0.16005762979388238,25,1
23,-48,0.3125047489809684,39,0
24,-50,0.2102120284549892,50,0
25,-10,0.22781705505968558,21,1
26,-50,0.20089365486055613,50,0
27,-32,0.13526267787918103,43,1
28,2,0.3573758395181762,9,1
29,-5,0.1397818538825959,16,1
30,-12,0.07938441634178162,3,0
31,3,0.05382113507948816,8,1
32,-50,0.09892614383250475,50,0
33,-8,0.0636159535497427,19,1
34,10,0.2241756021976471,1,1
35,6,0.13483385294675826,5,1
36,-38,0.0736005793002491,49,1
37,-18,0.05835873113367064,29,1
38,7,0.017553286161273718,4,1
39,-26,0.07568209910312214,37,1
40,-7,0.03120252929834856,18,1
41,-1,0.1453901892527938,12,1
42,-6,0.07699030791135396,17,1
43,-14,0.05854898177087307,25,1
44,-25,0.03404210238820977,36,1
45,1,0.01944360383786261,10,1
46,7,0.015284626977518201,4,1
47,-5,0.016683122841641307,16,1
48,-4,0.011967641642938058,15,1
49,-14,0.03858328110538423,25,1
50,10,0.12174990773200989,1,1
51,-19,0.032923012723525366,30,1
52,-36,0.05072134592639351,27,0
53,10,0.04249677062034607,1,1
54,-26,0.023916357561845233,37,1
55,-21,0.03799506356881466,32,1
56,-23,0.028488190625520313,34,1
57,-11,0.013379145455970005,22,1
58,-37,0.018863332549309626,28,0
59,-53,0.007742437285328792,44,0
60,-18,0.0037273092010732868,29,1
61,-31,0.003960891144483217,42,1
62,-2,0.0012445636048841362,13,1
63,0,0.0033748356270900167,11,1
64,7,0.0030284670647233725,4,1
65,2,0.0016337732085958123,9,1
66,-12,0.001121449963344882,3,0
67,-4,0.0008743777327860395,15,1
68,3,0.00043528179594432004,8,1
69,-4,0.001657462746758635,15,1
70,3,0.0008618070496595465,8,1
71,-17,0.000247315569660194,28,1
72,-8,0.001484172013557614,19,1
73,2,0.0007860028514793763,9,1
74,3,0.0004348156144260429,8,1
75,-3,0.00025636715664794404,14,1
76,-20,0.000564183249333573,31,1
77,-4,0.00019729003543034196,15,1
78,10,0.00013505053357221186,1,1
79,-9,0.0005309622749336996,20,1
80,-12,0.00020249111770206818,23,1
81,-5,0.00020694867839665676,16,1
82,6,0.0005157363368198276,5,1
83,-29,0.000286822526686592,20,0
84,-3,0.00011495313836868653,14,1
85,-23,0.0002228555568923612,34,1
86,2,9.192843976456465e-05,9,1
87,-8,0.00017228282539642685,19,1
88,-7,0.00024023154765018262,18,1
89,7,0.00012387373681121971,4,1
90,-3,5.8469945932821634e-05,14,1
91,-50,0.00011863109062687727,50,0
92,-27,6.315444682657376e-05,38,1
93,0,2.2602486999610186e-05,11,1
94,6,1.2296909244469133e-05,5,1
95,4,1.7473739977244156e-05,7,1
96,2,8.941132950389551e-05,9,1
97,9,5.3360739912022837e-05,2,1
98,3,4.469713940125075e-05,8,1
99,8,1.8946635464089923e-05,3,1
100,6,2.1489691425813363e-05,5,1
101,1,1.4236335391615285e-05,10,1
102,1,7.53354484004376e-06,10,1
103,4,4.767882598701233e-05,7,1
104,-1,3.560493875435592e-05,12,1
105,-4,1.5234396717763351e-05,15,1
106,-10,1.1233249606015133e-05,21,1
107,-8,1.6902140439350133e-05,19,1
108,10,1.0341776942368597e-05,1,1
109,6,7.2025291956379075e-06,5,1
110,-11,3.6110883973544166e-06,22,1
111,-2,1.8085206910165232e-06,13,1
112,9,1.2487210483413946e-06,2,1
113,-8,8.526442627498909e-07,19,1
114,-13,7.4216223584500085e-06,24,1
115,0,1.1444606984282887e-05,11,1
116,-2,7.852441915299725e-06,13,1
117,3,3.7818298039837828e-06,8,1
118,-2,5.749601239830764e-06,13,1
119,9,1.5317897577915573e-05,2,1
120,-4,1.0677315200761465e-05,15,1
121,8,5.274898588443951e-06,3,1
122,-3,2.2863368453077522e-06,14,1
123,9,9.340994324702478e-07,2,1
124,4,1.674962171754097e-06,7,1
125,2,4.061773394268029e-06,9,1
126,3,5.217478204144754e-06,8,1
127,-5,2.4180845770160886e-06,16,1
128,3,1.2674325233774653e-06,8,1
129,6,7.935157213978527e-07,5,1
130,-1,1.2243792137193548e-06,12,1
131,-7,1.6787807276664857e-06,18,1
132,7,7.456185464604914e-07,4,1
133,6,5.594773085704219e-07,5,1
134,9,4.771208494958046e-07,2,1
135,-5,3.2915523240362177e-07,16,1
136,3,1.0655970559270145e-06,8,1
137,0,7.040721046988355e-07,11,1
138,6,3.4110259434783073e-07,5,1
139,6,2.9663460736628623e-07,5,1
140,-10,1.4125793106651535e-07,21,1
