episode,reward,loss,steps,success
1,8,0.0,3,1
2,-33,0.5778620718047023,44,1
3,-26,0.5109409299843451,17,0
4,-50,0.3545946455886588,50,0
5,-46,0.16986436842361818,37,0
6,-19,0.26565936532182,30,1
7,-30,0.3087514638900757,21,0
8,-50,0.22282645321451128,50,0
9,-15,0.2969490314523379,6,0
10,-18,0.37905411753389573,9,0
11,-39,0.24929527152329684,50,1
12,-27,0.2237157999586902,38,1
13,-8,0.29747789666840907,19,1
14,-34,0.160030784457922,25,0
15,-50,0.1506461980380118,50,0
16,-50,0.2983291953243315,50,0
17,-10,0.6095932594367436,21,1
18,-50,0.4308745478093624,50,0
19,-5,0.3699023127555847,16,1
20,8,0.41113383571306866,3,1
21,-33,0.5048942686989903,24,0
22,-50,0.520879317522049,50,0
23,5,0.4556303024291992,6,1
24,-4,0.38917770286401115,15,1
25,-31,0.3894095380036604,42,1
26,4,0.22556868408407485,7,1
27,-50,0.23525179877877236,50,0
28,-21,0.12192717598130305,12,0
29,-1,0.3357856989217301,12,1
30,5,0.22779752438267073,6,1
31,-36,0.18709796326274566,47,1
32,-50,0.131397251971066,50,0
33,2,0.10420340672135353,9,1
34,-7,0.11172965945055087,18,1
35,-12,0.08571044015495674,23,1
36,-37,0.0612234715372324,48,1
37,2,0.04697938170284033,9,1
38,-50,0.035452779047191144,50,0
39,-22,0.01551695970931288,33,1
40,-14,0.013269837386906147,5,0
41,-15,0.010288545629009604,26,1
42,-50,0.010389344422146679,50,0
43,-11,0.007564354391599243,22,1
44,7,0.019475683569908142,4,1
45,-2,0.011500302200707106,13,1
46,-25,0.005541663616895676,36,1
47,8,0.006923086009919643,3,1
48,-4,0.004797917231917382,15,1
49,-50,0.003354524722089991,50,0
50,-45,0.002789410283892519,36,0
51,-7,0.0026060479123973185,18,1
52,6,0.0027711484231986105,5,1
53,-13,0.00299875530860542,24,1
54,-15,0.0028873196973178824,26,1
55,1,0.0018938728841021656,10,1
56,-25,0.002437092291074805,36,1
57,-26,0.0014321950250116454,37,1
58,7,0.0006933767144801095,4,1
59,10,0.0005579997086897492,1,1
60,4,0.0006201378294333283,7,1
61,-50,0.0007996896604890936,50,0
62,-10,0.0005952644860371947,1,0
63,-13,0.0005688689276818574,24,1
64,-21,0.0008556134689570172,32,1
65,7,0.0003265660816396121,4,1
66,-3,0.0005265973949073148,14,1
67,1,0.000800071086268872,10,1
68,-1,0.0004074910417936432,12,1
69,-2,0.0002570084526758784,13,1
70,5,0.00018224346179825565,6,1
71,-15,0.00013085123646305874,6,0
72,-14,9.643385325034614e-05,25,1
73,5,6.782072402226429e-05,6,1
74,4,7.367614281455255e-05,7,1
75,5,5.297738365091694e-05,6,1
76,4,0.00021459943413252143,7,1
77,-5,0.0006331428076009615,16,1
78,-20,0.00013362815380171542,31,1
79,-11,0.0003237899780453352,22,1
80,8,0.0001768220633190746,3,1
81,-14,0.00015476835833396762,5,0
82,7,0.00010104805005539674,4,1
83,-28,0.00015263972977080787,39,1
84,-16,6.010807299861443e-05,27,1
85,4,0.00015880700240294182,7,1
86,7,0.00011854679542011581,4,1
87,4,9.710992994119547e-05,7,1
88,2,6.544019763370873e-05,9,1
89,7,3.649386871984461e-05,4,1
90,4,2.8057951567461714e-05,7,1
91,7,2.162402188332635e-05,4,1
92,-14,8.030093180423136e-05,25,1
93,-3,5.209552221328652e-05,14,1
94,-12,2.7287481948999062e-05,23,1
95,1,6.18450951151317e-05,10,1
96,10,3.1679646781412885e-05,1,1
97,5,4.4148339839011896e-05,6,1
98,-10,2.1345327479052468e-05,21,1
99,5,9.352939362846277e-06,6,1
100,-5,3.105252386603752e-05,16,1
101,-2,2.1498597491769873e-05,13,1
102,-12,1.527890375048931e-05,3,0
103,5,1.0897206948357052e-05,6,1
104,3,7.379967541965016e-06,8,1
105,7,5.57383583554838e-06,4,1
106,10,4.944095508108148e-06,1,1
107,-18,1.6459678653487133e-05,29,1
108,-23,7.903429277308425e-06,34,1
109,-6,6.938097706498572e-06,17,1
110,-1,3.291774968753695e-06,12,1
111,3,2.4446240303177547e-06,8,1
112,-19,3.178720292377572e-06,30,1
113,2,1.1049538165429517e-06,9,1
114,4,1.095421729197759e-06,7,1
115,7,9.821106417007286e-07,4,1
116,2,2.0220655111794863e-06,9,1
117,8,2.079447350903744e-06,3,1
118,2,2.351777437878708e-06,9,1
119,-3,1.418109239434021e-06,14,1
120,9,1.1931402355003229e-06,2,1
121,-10,1.130362974100492e-06,21,1
122,-14,1.1728120318821312e-06,25,1
123,6,3.6473571185524634e-07,5,1
124,-4,5.052578425572089e-07,15,1
125,-18,3.158087931242021e-07,29,1
126,3,2.5859875485423345e-07,8,1
127,5,2.13806491918452e-07,6,1
128,-5,8.985648056736295e-07,16,1
129,-1,5.777174176084069e-07,12,1
130,-1,3.051570007054731e-07,12,1
131,-4,1.7885947537858252e-07,15,1
132,-10,8.448711241726414e-08,1,0
133,5,6.246227404934265e-07,6,1
134,3,5.367541078271643e-07,8,1
135,2,3.164512207831649e-07,9,1
136,1,1.603727341148442e-07,10,1
137,-24,2.789425278950018e-07,35,1
138,0,1.5384267855593367e-07,11,1
139,1,9.283901540868555e-08,10,1
140,-2,9.247790034604665e-08,13,1
141,8,2.9717002310765867e-07,3,1
142,-9,1.7113931090051436e-07,20,1
143,-2,5.2618917496698274e-08,13,1
144,4,3.433378483107065e-08,7,1
145,4,5.764416728076023e-08,7,1
146,4,1.3138459564743243e-07,7,1
147,4,1.085253466775222e-07,7,1
148,4,5.688877381869263e-08,7,1
149,10,2.221687367409686e-08,1,1
150,7,3.473063348025107e-08,4,1
151,5,2.2670260187614606e-08,6,1
152,3,1.7583206113336303e-08,8,1
153,8,1.64659764341953e-08,3,1
154,-3,3.4287741915558656e-08,14,1
155,4,2.742860897139313e-08,7,1
156,6,2.0668214872898715e-08,5,1
157,9,1.8758630204729343e-08,2,1
158,8,1.8042253913108652e-08,3,1
159,0,1.1678166151279418e-08,11,1
160,-7,1.5573988814626066e-08,18,1
161,5,2.8977739911321503e-08,6,1
162,7,1.5451774970642873e-08,4,1
163,-7,1.005706439115449e-08,18,1
164,7,5.515752521390027e-09,4,1
165,8,4.365120931382194e-09,3,1
166,10,4.378608586819155e-09,1,1
167,-4,1.1371926822434375e-08,15,1
168,3,1.544507244322091e-08,8,1
169,0,8.91517934223626e-09,11,1
170,2,4.730601737495338e-09,9,1
171,1,3.5766915207346982e-09,10,1
172,6,1.7304866428702326e-09,5,1
173,-9,1.0917510473440473e-08,20,1
174,7,7.921845845970665e-09,4,1
175,9,3.785388003052503e-09,2,1
176,-13,4.167199307847369e-09,4,0
177,3,3.303780082841712e-09,8,1
178,4,1.6559252064800895e-09,7,1
179,4,1.1209515617314837e-09,7,1
180,-7,8.066742829271334e-10,18,1
181,3,6.700038163165445e-10,8,1
182,5,6.126091300906467e-10,6,1
183,-22,2.6412565098018112e-09,33,1
184,2,2.437616207649916e-09,9,1
185,5,1.4883539215896728e-09,6,1
186,10,6.306493105512345e-10,1,1
187,-3,1.0360558522215513e-09,14,1
188,3,1.3671157123029687e-09,8,1
189,2,2.56142975965348e-09,9,1
190,-2,1.261099468442294e-09,13,1
191,3,5.201728284220941e-10,8,1
192,2,3.841669575047983e-10,9,1
193,-2,3.6043925536551807e-10,13,1
194,2,4.4077669909054545e-10,9,1
195,4,7.466044449344622e-10,7,1
196,2,2.873087200249024e-10,9,1
197,10,4.1818903895318726e-10,1,1
198,0,2.1723026407985654e-10,11,1
199,-11,1.520956693923381e-10,2,0
200,5,1.6095889436111102e-10,6,1
201,-3,7.263492585174447e-11,14,1
202,7,5.895575694303545e-11,4,1
203,4,5.357201983611861e-11,7,1
204,8,5.3392808692838876e-11,3,1
205,-4,4.744206139051243e-11,15,1
206,2,7.967939888134071e-11,9,1
207,-14,2.3550481564882373e-10,5,0
208,0,1.557849253637626e-10,11,1
209,-3,1.0264523754775569e-10,14,1
210,6,5.152749338321883e-11,5,1
211,6,6.1472782419969e-11,5,1
212,4,4.266174715082473e-11,7,1
213,3,1.0070687339602813e-10,8,1
214,9,7.649525457509299e-11,2,1
215,6,6.22338292011193e-11,5,1
216,2,5.913411735589433e-11,9,1
217,-2,4.035404916207925e-11,13,1
218,4,2.5921249274014305e-11,7,1
219,4,1.2560302004820706e-11,7,1
220,8,5.732895639691075e-12,3,1
221,-2,9.448377977441589e-12,13,1
222,5,5.3076709694011015e-12,6,1
223,9,6.9216021802986916e-12,2,1
224,2,6.530936285603022e-12,9,1
225,-10,4.338973624840037e-12,1,0
226,-8,1.2685417044285655e-11,19,1
227,2,5.102612159962266e-11,9,1
228,8,2.5339730314044573e-11,3,1
229,3,1.984574310442966e-11,8,1
230,2,1.40479788295838e-11,9,1
231,5,1.081995604224062e-11,6,1
232,0,8.839393863333747e-12,11,1
233,5,3.018620538715785e-11,6,1
234,-6,1.6508539633347858e-11,17,1
235,6,1.1160694590728327e-11,5,1
236,-5,6.6656576092061215e-12,16,1
237,6,4.2588488291528396e-12,5,1
238,3,1.0096583291652195e-11,8,1
239,2,1.4522389463817516e-11,9,1
240,-11,7.510436716984259e-12,2,0
241,6,6.728839707648149e-12,5,1
242,2,4.580286767148007e-12,9,1
243,5,5.2200836246167155e-12,6,1
