episode,reward,loss,steps,success
1,-50,0.19688555461011434,50,0
2,-37,0.03517813156940974,48,1
3,-50,0.10851142374798656,50,0
4,-10,0.0022209323942661285,1,0
5,-50,0.10521190264262259,50,0
6,-1,0.1389806440177684,12,1
7,1,0.19510687701404095,10,1
8,-50,0.19177093592472375,50,0
9,6,0.278102383390069,5,1
10,-50,0.27836525226943193,50,0
11,-14,0.27155859395861626,5,0
12,-50,0.23673397263512017,50,0
13,-50,0.31288987018167974,50,0
14,-36,0.4571530368733913,47,1
15,-35,0.31026981283838934,26,0
16,-50,0.5014045439660549,50,0
17,-10,0.8832839727401733,1,0
18,-21,0.6476070731878281,12,0
19,-13,0.4373859539628029,4,0
20,-14,0.2677310770750046,25,1
21,-48,0.4187669480840365,39,0
22,-50,0.2600695944577456,50,0
23,-10,0.2974982414217222,21,1
24,-18,0.23623584647630824,29,1
25,-50,0.2022706301882863,50,0
26,1,0.08584948647767306,10,1
27,-30,0.19000067242554255,21,0
28,6,0.11431221589446068,5,1
29,-8,0.10061249225155304,19,1
30,-50,0.10662662275135518,50,0
31,8,0.0648886611064275,3,1
32,-12,0.025861026098330814,3,0
33,-3,0.09758381665285144,14,1
34,-50,0.0790271551348269,50,0
35,-12,0.08235175410906474,3,0
36,3,0.05429384158924222,8,1
37,-4,0.04048812196900447,15,1
38,7,0.06423914898186922,4,1
39,-26,0.06437353115226771,37,1
40,-7,0.021352848477868572,18,1
41,-1,0.04131660866551101,12,1
42,-6,0.04018208044855034,17,1
43,-18,0.015025531720562741,29,1
44,-35,0.020332808565834293,46,1
45,7,0.04176716273650527,4,1
46,-14,0.01969351876527071,25,1
47,-14,0.008607284133322537,25,1
48,10,0.02751072682440281,1,1
49,5,0.019639515007535618,6,1
50,-12,0.00604609795846045,23,1
51,9,0.003020856063812971,2,1
52,-33,0.007953266593782852,24,0
53,10,0.00994347594678402,1,1
54,-29,0.004653144371695816,40,1
55,2,0.0013272073895980914,9,1
56,-8,0.001087914617719913,19,1
57,-22,0.0007233506117839939,13,0
58,-9,0.005200835142750293,20,1
59,-11,0.0030371774866415017,22,1
60,-37,0.002516579448378512,28,0
61,-53,0.0016036682936828583,44,0
62,-18,0.0013504500966519117,29,1
63,-26,0.0008671620107142607,37,1
64,6,0.00048224908532574774,5,1
65,-2,0.00029746792391121673,13,1
66,4,0.00024795992690737227,7,1
67,-22,0.00048820829331155187,33,1
