episode,reward,loss,steps,success
1,5,0.0,6,1
2,-12,0.0,23,1
3,1,0.8585777655243874,10,1
4,-34,0.7109889888763428,25,0
5,-50,0.46721876511815935,50,0
6,-11,0.47328849136829376,2,0
7,-15,0.5619866425792376,6,0
8,-38,0.33260325025957155,49,1
9,-50,0.3230041753128171,50,0
10,-50,0.22203406170010567,50,0
11,-25,0.23059230002885064,36,1
12,-14,0.4273082673549652,5,0
13,7,0.4317793548107147,4,1
14,-14,0.29864732921123505,5,0
15,-38,0.32148861216039076,49,1
16,-50,0.29079522579908373,50,0
17,-50,0.32723587907850743,50,0
18,-50,0.462034816890955,50,0
19,-9,0.3818484768271446,20,1
20,-50,0.5606053930521011,50,0
21,-32,0.4466707342585852,43,1
22,-50,0.34133308351039887,50,0
23,-47,0.23873913150868917,38,0
24,-12,0.14484741878898247,23,1
25,6,0.09857351034879684,5,1
26,-10,0.2542768120765686,1,0
27,-54,0.05494914804067877,45,0
28,-3,0.24234146438539028,14,1
29,-23,0.19114268494441228,34,1
30,-50,0.1279933989420533,50,0
31,-1,0.09298971574753523,12,1
32,-50,0.06832150824368,50,0
33,-20,0.04682349515232173,11,0
34,-4,0.03510080420722564,15,1
35,-13,0.029809565981850028,4,0
36,-50,0.0254172951169312,50,0
37,-50,0.015210025263950228,50,0
38,-24,0.009942957838731153,35,1
39,-12,0.008253354113548994,3,0
40,-8,0.005125785650881498,19,1
41,-50,0.0041585589700844135,50,0
42,4,0.002030343881675175,7,1
43,-11,0.005112271538977934,22,1
44,-22,0.0027979194507651932,33,1
45,-50,0.0018975620530545711,50,0
46,-1,0.0018147153411215793,12,1
47,-12,0.0009064732939409821,23,1
48,-2,0.0006690057187090413,13,1
49,-20,0.0007003149700223378,31,1
50,-16,0.0007212168088049761,7,0
51,0,0.0004027825846357948,11,1
52,-13,0.0007641487027285621,4,0
53,-1,0.0005462482392128246,12,1
54,-21,0.0002869657830615324,32,1
55,-13,0.0003872457333879235,24,1
56,-3,0.00017859206621194192,14,1
57,2,0.00015015481444101574,9,1
58,9,0.00012208440057293046,2,1
59,-3,0.0001967144032408084,14,1
60,-11,0.00010496680004673016,22,1
61,-27,8.379553855775157e-05,38,1
62,-18,6.553052662638947e-05,29,1
63,-3,8.904295386206027e-05,14,1
64,-19,5.657309878491408e-05,30,1
65,-4,5.639788493378243e-05,15,1
66,-27,4.03069853847329e-05,18,0
67,4,2.7972964744549245e-05,7,1
68,-21,3.76905190648813e-05,32,1
69,-14,3.0791708268225194e-05,25,1
70,-11,2.6541282564225682e-05,22,1
71,-16,1.9200390462564038e-05,7,0
72,7,1.526637299775757e-05,4,1
73,-1,1.5609509394683602e-05,12,1
74,-11,1.4249614237500778e-05,22,1
75,-8,1.3225157497225537e-05,19,1
76,0,7.513583796026069e-06,11,1
77,-7,1.0915898908731631e-05,18,1
78,-24,7.45283426307911e-06,35,1
79,4,4.2360976522104465e-06,7,1
80,4,6.901834402534794e-06,7,1
81,8,7.624289006950373e-06,3,1
82,-38,4.290091264548971e-06,49,1
83,-12,5.686520732221349e-06,3,0
84,3,3.040491890260455e-06,8,1
85,-1,1.8199687824941673e-06,12,1
86,10,3.510300757625373e-06,1,1
87,5,1.8877499409578984e-06,6,1
88,8,1.8832246648040989e-06,3,1
