episode,reward,loss,steps,success
1,-27,0.4085819891520909,38,1
2,-23,0.301098715787863,34,1
3,-33,0.22736882644918902,24,0
4,-38,0.2941036832213787,29,0
5,-39,0.30778322111194334,30,0
6,-50,0.22381436107680203,50,0
7,-11,0.20254400745034218,2,0
8,-13,0.3141318969428539,4,0
9,-50,0.2624578363541514,50,0
10,-50,0.1926045894064009,50,0
11,-20,0.1373610572720116,11,0
12,-32,0.17164442592928575,43,1
13,-24,0.10223252102732658,15,0
14,-19,0.1519030692987144,10,0
15,-11,0.04228802211582661,2,0
16,-50,0.11329204963520169,50,0
17,-50,0.10282635259442031,50,0
18,-9,0.07947074216790498,20,1
19,-9,0.1589898511301726,20,1
20,-50,0.11891550857573747,50,0
21,-6,0.23956708369009636,17,1
22,-15,0.28858365925649804,6,0
23,-50,0.13854086843319238,50,0
24,-22,0.10861310328949582,33,1
25,-29,0.13289941255934537,20,0
26,-29,0.09236341281794011,40,1
27,-16,0.21908984273406013,7,0
28,-50,0.10453765293583274,50,0
29,-7,0.15238366710642973,18,1
30,-14,0.038331184163689615,5,0
31,-1,0.04214141572204729,12,1
32,-37,0.12352566209544118,48,1
33,-50,0.10380709443241358,50,0
34,-18,0.13171162528531818,29,1
35,-13,0.06398831024610747,24,1
36,-50,0.10706118865869939,50,0
37,-50,0.08908080851659178,50,0
38,-27,0.10876585729420185,18,0
39,-22,0.027294127355245026,33,1
40,-16,0.042981241174318174,27,1
41,-1,0.01476013419839243,12,1
42,-37,0.017943115306219885,28,0
43,-13,0.025480239186435938,4,0
44,-26,0.010757910977939473,17,0
45,-19,0.004440525243990123,10,0
46,1,0.004425133671611547,10,1
47,-3,0.002439455815225041,14,1
48,-23,0.0015439193555400433,34,1
49,-10,0.012460753781765345,21,1
50,-50,0.005833533188560978,50,0
51,-43,0.0037800986003062196,34,0
52,-11,0.006118220917414874,22,1
53,-4,0.0020832717147034902,15,1
54,-4,0.0060919740741762025,15,1
55,-50,0.003884558138088323,50,0
56,-14,0.0026298707677051424,25,1
57,-10,0.0015661213443049096,21,1
58,-6,0.0025339639533365913,17,1
59,-26,0.0012723627424908474,17,0
60,-2,0.000690745954880885,13,1
61,-28,0.0010449682442226615,39,1
62,-11,0.0009665446728335651,22,1
63,-35,0.000569472121598032,46,1
64,0,0.0008132896460169418,11,1
65,-14,0.0007202986162155867,5,0
66,-17,0.00034981650553943055,28,1
67,-6,0.0008024035067886443,17,1
68,-13,0.00029387515072206344,24,1
69,-19,0.0006143855087429983,30,1
70,-9,0.000380492712429259,20,1
