episode,reward,loss,steps,success
1,8,0.0,3,1
2,-33,0.589669656008482,44,1
3,-26,0.5181788473444826,17,0
4,-50,0.3569233109569177,50,0
5,-46,0.170262274974202,37,0
6,-19,0.2641870457989474,30,1
7,-30,0.30940226323547815,21,0
8,-50,0.22593548588454723,50,0
9,-15,0.298657039180398,6,0
10,-18,0.3912658964594205,9,0
11,-39,0.2562244693376124,50,1
12,-27,0.23709556244705854,38,1
13,-8,0.3338210939576751,19,1
14,-34,0.19365462377667428,25,0
15,-50,0.16753376718610524,50,0
16,-50,0.3161879578977823,50,0
17,-10,0.6510178668513185,21,1
18,-50,0.4492872417718172,50,0
19,-5,0.3962806575000286,16,1
20,8,0.4094747205575307,3,1
21,-33,0.5409526266157627,24,0
22,-50,0.5634343995153904,50,0
23,5,0.5148716121912003,6,1
24,-4,0.4425012667973836,15,1
25,-31,0.472832646575712,42,1
26,4,0.3247482052871159,7,1
27,-50,0.26924897499382494,50,0
28,-21,0.19266119288901487,12,0
29,-1,0.35525268176570535,12,1
30,5,0.17177335545420647,6,1
31,-36,0.1851854906120199,47,1
32,-50,0.16040986623615028,50,0
33,2,0.12683707392878002,9,1
34,-7,0.11843764533599217,18,1
35,-12,0.10343181463363378,23,1
36,-50,0.075731568261981,50,0
37,-50,0.05188960160128772,50,0
38,-37,0.031987269195572786,48,1
39,0,0.027144240130755035,11,1
40,10,0.010821770876646042,1,1
41,-1,0.018908343898753326,12,1
42,-50,0.012836698247119784,50,0
43,-11,0.010024598736146634,22,1
44,7,0.018676007632166147,4,1
45,-2,0.011573377065360546,13,1
46,-25,0.0069048001314513385,36,1
47,8,0.010873354971408844,3,1
48,-4,0.007988497397551935,15,1
49,-50,0.006551281220745295,50,0
50,-43,0.005167792914161349,34,0
51,-9,0.004549529385985807,20,1
52,6,0.004670756170526147,5,1
53,-13,0.003858643874991685,24,1
54,-15,0.003111774366026601,26,1
55,-12,0.003096604204746773,23,1
56,-12,0.0026629488439420643,23,1
57,-6,0.0013121677500962773,17,1
58,3,0.002636019271449186,8,1
59,1,0.001834874029736966,10,1
60,7,0.0014804370584897697,4,1
61,10,0.0008574217208661139,1,1
62,4,0.0008511469183888819,7,1
63,-50,0.000745376898557879,50,0
64,-10,0.0004926545079797506,1,0
65,-12,0.000406038814538118,23,1
66,10,0.0017048500012606382,1,1
67,-24,0.0006738038130736511,35,1
68,3,0.0003588458821468521,8,1
69,3,0.0005775741046818439,8,1
70,1,0.0006956649827770889,10,1
71,5,0.0004221390117891133,6,1
72,5,0.00036489416379481554,6,1
73,0,0.0002866823193802371,11,1
74,7,0.00023657384008402005,4,1
75,1,0.00012882743976661004,10,1
76,-13,9.265284870707546e-05,24,1
77,5,7.024456560126661e-05,6,1
78,4,6.579863838851452e-05,7,1
79,5,8.121805634194364e-05,6,1
80,4,7.036173077982053e-05,7,1
81,-5,5.749113620368007e-05,16,1
82,-20,3.956762485622969e-05,31,1
83,-3,0.0004560687532700415,14,1
84,3,0.0002554941183916526,8,1
85,-25,0.00010731516431405907,36,1
86,-8,0.0001736834341212862,19,1
87,-15,8.93793553237069e-05,26,1
88,4,3.833675795509147e-05,7,1
89,7,2.409580883977469e-05,4,1
90,4,2.692461852607916e-05,7,1
91,-13,1.744802282625339e-05,24,1
92,-16,4.7329986416486836e-05,27,1
93,-4,2.6821614361930794e-05,15,1
94,-12,3.1991350426877666e-05,23,1
95,1,4.7928824278642425e-05,10,1
96,10,6.715767813147977e-05,1,1
97,5,3.242522992271309e-05,6,1
98,-10,1.91019208137905e-05,21,1
99,5,2.0669965427562904e-05,6,1
100,-5,3.668743136131525e-05,16,1
101,-2,1.4272176485974342e-05,13,1
102,-12,8.85092185853864e-06,3,0
103,5,7.21397009328939e-06,6,1
104,3,4.951126868490974e-06,8,1
105,7,1.2694226427356625e-05,4,1
106,10,2.8661228498094715e-05,1,1
107,-18,1.2263878018310261e-05,29,1
108,-23,5.686326811455194e-06,34,1
109,-6,4.652678719995653e-06,17,1
110,-1,2.5702168405435564e-06,12,1
111,3,3.3426235788169834e-06,8,1
112,-19,2.7591676049117573e-06,30,1
113,2,6.908514049225939e-07,9,1
114,4,4.2300742109091516e-07,7,1
115,7,2.70515982592201e-06,4,1
116,2,3.944265144026657e-06,9,1
117,8,3.27313364323345e-06,3,1
