episode,reward,loss,steps,success
1,5,0.0,6,1
2,-12,0.0,23,1
3,-19,0.5841325212802205,30,1
4,-50,0.4292041694978252,50,0
5,-50,0.22937915755435825,50,0
6,-42,0.18893983042940046,33,0
7,-50,0.19474417307414116,50,0
8,-30,0.19873026186009732,41,1
9,-16,0.2007205601160725,27,1
10,-50,0.21419534534215928,50,0
11,-50,0.16902112778276204,50,0
12,-50,0.17813477402552963,50,0
13,-13,0.3560735732316971,4,0
14,3,0.21672132425010204,8,1
15,-50,0.25784100860357284,50,0
16,-7,0.08233116039385398,18,1
17,-16,0.3023266062416412,27,1
18,-24,0.16913622596434186,35,1
19,-18,0.3027134293626095,29,1
20,-50,0.23655445631593466,50,0
21,-46,0.20059997100080992,37,0
22,-18,0.19471354718352185,29,1
23,-34,0.11230618287291792,45,1
24,-4,0.16035416486362616,15,1
25,-22,0.08818549358031967,33,1
26,-17,0.08928934378283364,28,1
27,-23,0.05919429539319347,34,1
28,-50,0.04698128731921315,50,0
29,-3,0.04791779962501356,14,1
30,7,0.023437739815562963,4,1
31,-20,0.0378525696334339,31,1
32,-50,0.0515410234616138,50,0
33,-17,0.040916601894423366,28,1
34,-29,0.021308624418452382,40,1
35,-12,0.008673114391664663,3,0
36,-8,0.08654815771028791,19,1
37,-50,0.026176328102592378,50,0
38,4,0.045907832349517515,7,1
39,-50,0.03508267093100585,50,0
40,-1,0.006255235634550142,12,1
41,-34,0.048729074712739226,45,1
42,-4,0.0771664610443016,15,1
43,6,0.0024843741441145538,5,1
44,-15,0.052651561060114406,26,1
45,-20,0.018327441049604525,31,1
46,-16,0.0007922102979916547,7,0
47,-17,0.060815567283758094,28,1
48,-10,0.002087106229737401,1,0
49,-23,0.02617667838657165,34,1
50,4,0.0017432606712515866,7,1
51,-3,0.015857312300275744,14,1
52,-3,0.015031665621791035,14,1
53,2,0.02204176678302853,9,1
54,9,0.09661744632467162,2,1
55,-3,0.014293773688093227,14,1
56,-13,0.015540377809278047,24,1
57,1,0.00040225923294201493,10,1
58,-50,0.016805777431291063,50,0
59,-10,0.020374248423779915,21,1
60,-16,0.004681287856699244,27,1
61,-7,0.012905927366066154,18,1
62,-25,0.012937088980834233,16,0
63,4,0.01269169496871265,7,1
64,-50,0.007812276080949232,50,0
65,10,0.0003031028318218887,1,1
66,-15,0.0018516719159938826,26,1
67,-16,0.0015376802101465209,7,0
68,7,0.0015254875470418483,4,1
69,-4,0.0016720857024968912,15,1
70,-2,0.0014268785352424646,13,1
71,10,0.0005067741731181741,1,1
72,-36,0.00024150944416221506,27,0
73,-14,8.875123217876535e-05,25,1
74,-24,0.00015502529963019437,35,1
75,4,6.829347382465909e-05,7,1
76,4,0.00013647881392638998,7,1
77,8,0.00013776999063945064,3,1
78,-38,5.8230467458292415e-05,49,1
79,-12,5.8870021651576586e-05,3,0
80,3,5.492814625540632e-05,8,1
81,-1,2.9830010286483837e-05,12,1
82,10,2.013918310694862e-05,1,1
83,5,1.8720558121761616e-05,6,1
84,8,1.0060235278312272e-05,3,1
85,-18,2.1400374015652703e-05,29,1
86,-4,1.0388168690648552e-05,15,1
87,-16,4.4926694044988835e-06,7,0
88,4,4.452744422321432e-06,7,1
89,-5,1.4751651249866882e-05,16,1
90,-13,1.3832411241310183e-05,4,0
