experiment,mean_reward,success_rate,mean_steps,mean_loss
baseline_random,-10.833333333333334,0.7,17.633333333333333,0.1419218975366422
rainbow_random,-17.23333333333333,0.5666666666666667,21.966666666666665,0.9655054998710082
